HH,AREA,GEN,Age at last birthday (Years),AGE,EMP,OCC,EDU,CC1,CC2,CC3,CC4,DCC1,DCC2,DCC3,DCC4,DCC5,DCC6,IDL1,IDL2,IDL3,IDL4,PS1,PS2,PS3,PS4,PS5,PS6,SFY1,SFY2
Open-Ended Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,CC1,CC2,CC3,CC4,DCC1,DCC2,DCC3,DCC4,DCC5,DCC6,IDL1,IDL2,IDL3,IDL4,PS1,PS2,PS3,PS4,PS5,PS6,SFY1,SFY2
A002-06,1,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A002-07,1,2,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A002-07,1,2,19,2,5,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
A002-07,1,2,46,3,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A002-07,1,1,54,3,1,2,4,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
A002-08,1,1,17,2,5,0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
A002-08,1,1,61,3,1,2,4,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
A002-08,1,2,54,3,4,0,3,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1
A002-09,1,2,46,3,4,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
A002-09,1,1,50,3,1,2,4,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
A002-09,1,1,15,2,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A002-09,1,1,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A002-09,1,1,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A002-11,1,2,43,3,1,5,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1
A002-11,1,2,31,3,1,5,3,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1
