HH,AREA,GEN,Age at last birthday (Years),AGE,EMP,OCC,EDU,CC1,CC2,CC3,CC4,DCC1,DCC2,DCC3,DCC4,DCC5,DCC6,IDL1,IDL2,IDL3,IDL4,PS1,PS2,PS3,PS4,PS5,PS6,SFY1,SFY2
Open-Ended Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,CC1,CC2,CC3,CC4,DCC1,DCC2,DCC3,DCC4,DCC5,DCC6,IDL1,IDL2,IDL3,IDL4,PS1,PS2,PS3,PS4,PS5,PS6,SFY1,SFY2
A057-06,1,1,55,3,4,0,2,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0
A057-07,1,2,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A057-07,1,1,13,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A057-07,1,2,72,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A057-07,1,2,34,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1
A057-07,1,1,36,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1
A057-09,1,2,26,3,1,4,3,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
A057-09,1,1,27,3,5,0,4,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1
A057-09,1,2,54,3,1,4,3,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
A057-09,1,1,53,3,1,4,3,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1
A057-10,1,2,26,3,1,9,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1
A057-10,1,2,31,3,1,2,4,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1
A057-10,1,2,64,3,4,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
A057-10,1,1,68,3,1,1,4,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1
A057-11,1,1,31,3,1,2,4,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1
A057-12,1,1,38,3,1,3,4,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
A057-12,1,1,8,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,5,6,0,0
A057-12,1,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A057-12,1,2,34,3,1,2,4,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
A057-12,1,1,25,3,1,2,4,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
A057-12,1,1,70,3,4,0,2,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
A057-13,1,2,45,3,1,4,3,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1
A057-13,1,1,44,3,1,2,4,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1
A058-01,1,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-01,1,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-01,1,1,12,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-01,1,1,34,3,1,8,3,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1
A058-01,1,2,30,3,1,2,3,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1
A058-02,1,1,70,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-02,1,1,41,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-03,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-03,1,2,23,2,2,5,3,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
A058-03,1,1,22,2,1,10,3,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
A058-03,1,1,57,3,1,3,2,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1
A058-04,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-04,1,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-04,1,1,39,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-04,1,2,28,3,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-04,1,1,49,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-05,1,2,29,3,1,9,2,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1
A058-05,1,1,27,3,2,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1
A058-05,1,2,53,3,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
A058-05,1,1,57,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
A058-06,1,1,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-06,1,2,33,3,1,5,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A058-06,1,2,39,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A058-06,1,2,42,3,1,5,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A058-07,1,2,12,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
A058-07,1,1,40,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
A058-07,1,1,46,3,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
A058-07,1,2,51,3,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-07,1,1,54,3,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-07,1,2,76,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-08,1,1,14,1,5,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1
A058-08,1,2,15,2,5,0,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1
A058-08,1,2,22,2,5,0,4,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1
A058-08,1,2,26,3,5,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1
A058-08,1,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-08,1,2,27,3,5,0,4,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1
A058-08,1,2,42,3,1,5,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1
A058-08,1,1,63,3,3,0,4,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1
A058-09,1,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-09,1,2,15,2,5,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A058-09,1,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-09,1,1,13,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-09,1,1,17,2,5,0,2,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
A058-09,1,2,45,3,1,9,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
A058-09,1,1,51,3,4,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
A058-10,1,1,14,1,5,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A058-10,1,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-10,1,1,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-10,1,2,20,2,5,0,4,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1
A058-10,1,2,42,3,4,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
A058-10,1,1,49,3,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-11,1,2,49,3,1,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-11,1,2,87,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-11,1,1,53,3,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-13,1,2,14,1,5,0,2,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
A058-13,1,2,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-13,1,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058-13,1,1,19,2,3,0,3,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
A058-13,1,2,51,3,1,3,2,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0
A058-13,1,1,53,3,1,3,3,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1
A059-01,1,2,30,3,3,0,4,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
A059-01,1,2,32,3,1,2,4,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
A059-01,1,2,36,3,1,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
A059-01,1,2,60,3,4,0,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
A059-01,1,2,61,3,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A059-01,1,1,59,3,4,0,3,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0
A059-02,1,1,43,3,1,8,2,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1
A059-02,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-02,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-02,1,1,26,3,1,5,3,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1
A059-02,1,2,39,3,1,4,3,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1
A059-03,1,1,26,3,5,0,3,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1
A059-03,1,1,53,3,1,3,2,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1
A059-04,1,2,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-04,1,2,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-04,1,2,37,3,1,2,4,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
A059-04,1,1,37,3,1,2,4,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
A059-05,1,2,76,4,4,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A059-05,1,1,75,4,4,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
A059-06,1,1,57,3,2,6,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
A059-06,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-06,1,2,46,3,4,0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
A059-07,1,1,35,3,3,0,3,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1
A059-07,1,2,62,3,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-07,1,1,65,3,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-08,1,2,19,2,5,0,3,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1
A059-08,1,2,26,3,5,0,4,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1
A059-08,1,2,28,3,1,2,4,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1
A059-08,1,1,31,3,1,2,4,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
A059-08,1,2,36,3,1,5,3,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
A059-08,1,2,58,3,4,0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
A059-08,1,1,61,3,4,0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
A059-09,1,1,37,3,1,9,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
A059-09,1,1,36,3,1,9,3,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
A059-10,1,2,43,3,1,5,3,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
A059-10,1,2,29,3,1,5,3,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1
A059-10,1,1,35,3,1,9,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
A059-11,1,2,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-11,1,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-11,1,2,39,3,1,2,4,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1
A059-11,1,1,40,3,1,3,4,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1
A059-12,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-12,1,2,10,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-12,1,2,12,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A059-12,1,2,36,3,1,5,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
A059-12,1,1,39,3,1,2,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
A059-13,1,2,20,2,5,0,4,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1
A059-13,1,2,27,3,1,2,4,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1
A059-13,1,2,54,3,2,5,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A059-13,1,1,58,3,2,5,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A060-01,1,1,41,3,1,2,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A060-02,1,2,26,3,3,0,4,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
A060-03,1,1,61,3,4,0,4,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
A060-04,1,1,60,3,4,0,2,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0
A060-05,1,1,47,3,1,2,3,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
A060-06,1,2,72,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A060-08,1,2,73,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A060-10,1,1,39,3,1,5,3,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
A060-11,1,1,35,3,1,5,2,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
A060-12,1,2,25,3,4,0,3,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
A060-13,1,2,27,3,1,5,3,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
A061-01,1,2,46,3,1,9,2,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
A061-01,1,2,90,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A061-02,1,2,24,2,5,0,4,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
A061-02,1,2,55,3,1,9,2,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
A061-02,1,1,51,3,1,4,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
A061-03,1,1,46,3,1,8,2,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1
A061-03,1,2,73,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A061-04,1,2,50,3,1,5,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
A061-04,1,1,54,3,2,8,2,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0
A061-05,1,1,45,3,3,0,3,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
A061-05,1,2,40,3,3,0,3,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0
A061-05,1,2,13,1,0,0,2,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0
A061-05,1,1,70,3,4,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
A061-06,1,1,25,3,3,0,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A061-06,1,2,61,3,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A061-07,1,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A061-07,1,2,13,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
A061-07,1,2,15,2,5,0,3,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
A061-07,1,2,40,3,1,2,4,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
A061-07,1,1,39,3,1,2,4,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
A061-08,1,1,41,3,1,2,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
A061-08,1,2,62,3,4,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
A061-08,1,1,70,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A061-09,1,2,56,3,1,1,4,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
A061-09,1,2,25,3,1,4,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
A061-09,1,1,56,3,4,0,3,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0
A061-11,1,2,12,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1
A061-11,1,1,15,2,5,0,2,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1
A061-11,1,2,41,3,1,2,3,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
A061-11,1,1,45,3,1,2,4,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
A061-12,1,2,35,3,3,0,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
A061-12,1,2,64,3,4,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
A061-12,1,1,72,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A061-13,1,1,31,3,1,10,3,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
A061-13,1,2,15,2,5,0,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
A061-13,1,2,55,3,1,9,2,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1
A062-01,1,2,30,3,5,0,4,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0
A062-01,1,2,57,3,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A062-01,1,1,59,3,4,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
A062-02,1,1,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A062-02,1,1,16,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A062-02,1,2,44,3,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
A062-02,1,1,44,3,1,5,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
A062-04,1,2,36,3,1,1,4,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
A062-05,1,2,31,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0,1,1
A062-05,1,2,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
A062-05,1,1,34,3,1,9,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0,1,1
A062-06,1,2,33,3,1,2,4,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
A062-06,1,1,32,3,1,2,4,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
A062-07,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A062-07,1,1,11,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A062-07,1,2,36,3,1,2,4,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
A062-07,1,1,37,3,1,3,4,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1
A062-08,1,2,28,3,3,0,4,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0
A062-08,1,2,60,3,4,0,3,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
A062-08,1,1,62,3,4,0,4,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
A062-09,1,2,54,3,1,6,4,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
A062-09,1,1,22,2,5,0,4,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
A062-09,1,1,59,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A062-10,1,1,19,2,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A062-10,1,2,48,3,1,2,4,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0
A062-10,1,1,48,3,1,2,4,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0
A062-11,1,2,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A062-11,1,2,37,3,1,2,4,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
A062-11,1,1,38,3,1,4,4,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A062-12,1,2,38,3,1,2,3,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
A062-12,1,1,38,3,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A062-13,1,1,22,2,5,0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0
A062-13,1,2,50,3,4,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
A062-13,1,1,50,3,1,2,4,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
A063-01,1,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A063-01,1,1,22,2,5,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
A063-01,1,2,46,3,1,2,3,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
